#Clade                                                Targets  Neighbors  Split (%)  Parent  Dist(Parent)
nGCA_001559635.1_ASM155963v1_genomic.fna              0        1          67.9       248     5.15e-05
nGCA_001559655.1_ASM155965v1_genomic.fna              0        1          67.9       207     1.2e-05
nGCA_001559675.1_ASM155967v1_genomic.fna              0        1          67.9       210     8.67e-05
nGCA_001566335.1_ASM156633v1_genomic.fna              0        1          67.9       178     6.27e-07
nGCA_001593565.1_ASM159356v1_genomic.fna              0        1          67.9       21      0.000118
nGCA_001610755.1_ASM161075v1_genomic.fna              0        1          67.9       161     0.00175
nGCA_001650275.1_ASM165027v1_genomic.fna              0        1          67.9       393     2.97e-05
nGCA_001650295.1_ASM165029v1_genomic.fna              0        1          67.9       393     2.64e-05
nGCA_001874485.1_ASM187448v1_genomic.fna              0        1          67.9       29      7.14e-05
nGCA_002024865.1_ASM202486v1_genomic.fna              0        1          67.9       47      0
nGCA_002079225.1_ASM207922v1_genomic.fna              0        1          67.9       243     0.00199
nGCA_002208865.2_ASM220886v2_genomic.fna              0        1          67.9       368     9.69e-05
nGCA_002209105.2_ASM220910v2_genomic.fna              0        1          67.9       120     4.65e-05
nGCA_002269325.1_ASM226932v1_genomic.fna              0        1          67.9       241     0.000121
nGCA_002716885.1_ASM271688v1_genomic.fna              0        1          67.9       146     0.000164
nGCA_002741175.1_ASM274117v1_genomic.fna              0        1          67.9       238     8.21e-05
nGCA_002741195.1_ASM274119v1_genomic.fna              0        1          67.9       240     0.000242
nGCA_002741215.1_ASM274121v1_genomic.fna              0        1          67.9       236     0.0008
nGCA_002741255.1_ASM274125v1_genomic.fna              0        1          67.9       150     0.00342
nGCA_002741275.1_ASM274127v1_genomic.fna              0        1          67.9       145     0.000952
nGCA_002741315.1_ASM274131v1_genomic.fna              0        1          67.9       238     0.00014
nGCA_002741435.1_ASM274143v1_genomic.fna              0        1          67.9       269     0.000276
nGCA_002741455.1_ASM274145v1_genomic.fna              0        1          67.9       135     0.000858
nGCA_002741475.1_ASM274147v1_genomic.fna              0        1          67.9       115     0.00301
nGCA_002741495.1_ASM274149v1_genomic.fna              0        1          67.9       269     0.000276
nGCA_002741515.1_ASM274151v1_genomic.fna              0        1          67.9       239     0.000503
nGCA_002741575.1_ASM274157v1_genomic.fna              0        1          67.9       241     6.76e-05
nGCA_002741595.1_ASM274159v1_genomic.fna              0        1          67.9       144     0.00293
nGCA_002843685.1_ASM284368v1_genomic.fna              0        1          67.9       173     1.34e-05
nGCA_002844165.1_ASM284416v1_genomic.fna              0        1          67.9       95      8.19e-05
nGCA_002983645.1_ASM298364v1_genomic.fna              0        1          67.9       124     3.6e-05
nGCA_003112145.1_ASM311214v1_genomic.fna              0        1          67.9       94      0.000106
nGCA_003112165.1_ASM311216v1_genomic.fna              0        1          67.9       107     0.000347
nGCA_003112185.1_ASM311218v1_genomic.fna              0        1          67.9       110     0
nGCA_003112205.1_ASM311220v1_genomic.fna              0        1          67.9       137     0.00315
nGCA_003112225.1_ASM311222v1_genomic.fna              0        1          67.9       109     6.42e-05
nGCA_003112245.1_ASM311224v1_genomic.fna              0        1          67.9       106     7.15e-06
nGCA_003433275.1_ASM343327v1_genomic.fna              0        1          67.9       119     0.000183
nGCA_003546975.1_ASM354697v1_genomic.fna              0        1          67.9       59      0
nGCA_003586045.1_E.coli_isolate_genomic.fna           0        1          67.9       132     0.000572
nGCA_003586065.1_EcRM9872_genomic.fna                 0        1          67.9       283     0
nGCA_003591595.1_ASM359159v1_genomic.fna              0        1          67.9       259     9.55e-06
nGCA_003627195.1_ASM362719v1_genomic.fna              0        1          67.9       179     0
nGCA_003697165.2_ASM369716v2_genomic.fna              0        1          67.9       37      0.000418
nGCA_004355105.2_ASM435510v2_genomic.fna              0        1          67.9       177     0
nGCA_004771135.1_ASM477113v1_genomic.fna              0        1          67.9       64      0.00037
nGCA_005014055.1_ASM501405v1_genomic.fna              0        1          67.9       132     0.000349
nGCA_005014075.1_ASM501407v1_genomic.fna              0        1          67.9       126     6.07e-06
nGCA_005037715.2_ASM503771v2_genomic.fna              0        1          67.9       95      6.06e-05
nGCA_005037725.2_ASM503772v2_genomic.fna              0        1          67.9       108     0.000234
nGCA_005037775.2_ASM503777v2_genomic.fna              0        1          67.9       146     0.000134
nGCA_005037795.2_ASM503779v2_genomic.fna              0        1          67.9       148     0.000299
nGCA_005037805.2_ASM503780v2_genomic.fna              0        1          67.9       104     5.17e-05
nGCA_005037815.2_ASM503781v2_genomic.fna              0        1          67.9       284     0.000187
nGCA_005037845.2_ASM503784v2_genomic.fna              0        1          67.9       149     0.000192
nGCA_006777045.1_ASM677704v1_genomic.fna              0        1          67.9       5       0.00619
nGCA_007990655.1_ASM799065v1_genomic.fna              0        1          67.9       106     8.29e-05
nGCA_008042015.2_ASM804201v2_genomic.fna              0        1          67.9       89      0.00086
nGCA_008124005.1_ASM812400v1_genomic.fna              0        1          67.9       158     0.00151
nGCA_008124085.1_ASM812408v1_genomic.fna              0        1          67.9       74      0.000239
nGCA_008124105.1_ASM812410v1_genomic.fna              0        1          67.9       189     2.31e-05
nGCA_008124125.1_ASM812412v1_genomic.fna              0        1          67.9       193     1.13e-06
nGCA_008124145.1_ASM812414v1_genomic.fna              0        1          67.9       192     1.39e-06
nGCA_008124165.1_ASM812416v1_genomic.fna              0        1          67.9       191     1.06e-06
nGCA_008124185.1_ASM812418v1_genomic.fna              0        1          67.9       194     0
nGCA_008124205.1_ASM812420v1_genomic.fna              0        1          67.9       201     3.35e-06
nGCA_008124225.1_ASM812422v1_genomic.fna              0        1          67.9       201     1.32e-06
nGCA_008124245.1_ASM812424v1_genomic.fna              0        1          67.9       198     8.86e-06
nGCA_008124265.1_ASM812426v1_genomic.fna              0        1          67.9       195     0
nGCA_008124285.1_ASM812428v1_genomic.fna              0        1          67.9       189     0
nGCA_008124305.1_ASM812430v1_genomic.fna              0        1          67.9       200     2.47e-06
nGCA_008124325.1_ASM812432v1_genomic.fna              0        1          67.9       196     0
nGCA_008124345.1_ASM812434v1_genomic.fna              0        1          67.9       200     2.73e-06
nGCA_008124365.1_ASM812436v1_genomic.fna              0        1          67.9       199     7e-07
nGCA_008124385.1_ASM812438v1_genomic.fna              0        1          67.9       199     5.39e-07
nGCA_008124405.1_ASM812440v1_genomic.fna              0        1          67.9       188     0
nGCA_008462425.1_ASM846242v1_genomic.fna              0        1          67.9       402     6.75e-05
nGCA_008634095.2_ASM863409v2_genomic.fna              0        1          67.9       280     0.000137
nGCA_008635785.2_ASM863578v2_genomic.fna              0        1          67.9       279     4.69e-05
nGCA_008727135.1_ASM872713v1_genomic.fna              0        1          67.9       437     8.43e-05
nGCA_008727155.1_ASM872715v1_genomic.fna              0        1          67.9       429     1.07e-05
nGCA_008727175.1_ASM872717v1_genomic.fna              0        1          67.9       419     3.45e-05
nGCA_008727195.1_ASM872719v1_genomic.fna              0        1          67.9       377     0.000126
nGCA_009618015.1_ASM961801v1_genomic.fna              0        1          67.9       96      0.00407
nGCA_009728565.1_ASM972856v1_genomic.fna              0        1          67.9       143     0.00182
nGCA_009832885.1_ASM983288v1_genomic.fna              0        1          67.9       229     5.05e-05
nGCA_013166975.1_ASM1316697v1_genomic.fna             0        1          67.9       256     8.15e-06
nGCA_013167015.1_ASM1316701v1_genomic.fna             0        1          67.9       256     5.17e-05
nGCA_013167255.1_ASM1316725v1_genomic.fna             0        1          67.9       299     0.000137
nGCA_013167935.1_ASM1316793v1_genomic.fna             0        1          67.9       296     0.00078
nGCA_013167975.1_ASM1316797v1_genomic.fna             0        1          67.9       299     5.03e-05
nGCA_013167995.1_ASM1316799v1_genomic.fna             0        1          67.9       293     0.000469
nGCA_013168015.1_ASM1316801v1_genomic.fna             0        1          67.9       297     0.000237
nGCA_013282315.1_ASM1328231v1_genomic.fna             0        1          67.9       244     0.00124
nGCA_013343615.1_ASM1334361v1_genomic.fna             0        1          67.9       294     0.000352
nGCA_014217135.1_ASM1421713v1_genomic.fna             0        1          67.9       30      1.7e-05
nGCA_014217155.1_ASM1421715v1_genomic.fna             0        1          67.9       31      1.9e-05
nGCA_014262945.1_ASM1426294v1_genomic.fna             0        1          67.9       63      3.18e-05
nGCA_014263375.1_ASM1426337v1_genomic.fna             0        1          67.9       252     0
nGCA_014607535.1_ASM1460753v1_genomic.fna             0        1          67.9       278     5.47e-05
nGCA_014607555.1_ASM1460755v1_genomic.fna             0        1          67.9       288     2.39e-06
nGCA_014607575.1_ASM1460757v1_genomic.fna             0        1          67.9       289     4.58e-05
nGCA_014622965.1_ASM1462296v1_genomic.fna             0        1          67.9       285     3.72e-05
nGCA_014622985.1_ASM1462298v1_genomic.fna             0        1          67.9       287     6.24e-05
nGCA_014623185.1_ASM1462318v1_genomic.fna             0        1          67.9       288     4.62e-06
nGCA_014623205.1_ASM1462320v1_genomic.fna             0        1          67.9       289     2.34e-05
nGCA_014623225.1_ASM1462322v1_genomic.fna             0        1          67.9       284     0.000109
nGCA_014623245.1_ASM1462324v1_genomic.fna             0        1          67.9       282     0
nGCA_014623405.1_ASM1462340v1_genomic.fna             0        1          67.9       281     1.83e-05
nGCA_014623425.1_ASM1462342v1_genomic.fna             0        1          67.9       283     1.77e-06
nGCA_014770655.1_ASM1477065v1_genomic.fna             0        1          67.9       266     0.000616
nGCA_014770895.1_ASM1477089v1_genomic.fna             0        1          67.9       154     0.00478
nGCA_014771055.1_ASM1477105v1_genomic.fna             0        1          67.9       242     0.00247
nGCA_014771275.1_ASM1477127v1_genomic.fna             0        1          67.9       267     0.00252
nGCA_014930875.1_ASM1493087v1_genomic.fna             0        1          67.9       49      0
nGCA_015277555.1_ASM1527755v1_genomic.fna             0        1          67.9       27      2.15e-05
nGCA_015290945.1_ASM1529094v1_genomic.fna             0        1          67.9       168     5.54e-05
nGCA_015291845.1_ASM1529184v1_genomic.fna             0        1          67.9       221     0
nGCA_015534935.1_ASM1553493v1_genomic.fna             0        1          67.9       231     3.27e-07
nGCA_015534955.1_ASM1553495v1_genomic.fna             0        1          67.9       231     1.62e-07
nGCA_015534975.1_ASM1553497v1_genomic.fna             0        1          67.9       216     1.06e-06
nGCA_015534995.1_ASM1553499v1_genomic.fna             0        1          67.9       218     1.68e-06
nGCA_015535015.1_ASM1553501v1_genomic.fna             0        1          67.9       219     0
nGCA_015571595.1_ASM1557159v1_genomic.fna             0        1          67.9       84      0.00641
nGCA_015571675.1_ASM1557167v1_genomic.fna             0        1          67.9       262     1.51e-06
nGCA_015571695.1_ASM1557169v1_genomic.fna             0        1          67.9       262     2.4e-07
nGCA_015571715.1_ASM1557171v1_genomic.fna             0        1          67.9       88      0.00202
nGCA_015571735.1_ASM1557173v1_genomic.fna             0        1          67.9       142     0.000416
nGCA_015571795.1_ASM1557179v1_genomic.fna             0        1          67.9       142     0.000422
nGCA_015571855.1_ASM1557185v1_genomic.fna             0        1          67.9       267     0.0026
nGCA_015571895.1_ASM1557189v1_genomic.fna             0        1          67.9       99      0.00313
nGCA_015571915.1_ASM1557191v1_genomic.fna             0        1          67.9       112     0.00371
nGCA_015644765.1_ASM1564476v1_genomic.fna             0        1          67.9       48      0
nGCA_015697215.1_ASM1569721v1_genomic.fna             0        1          67.9       71      0.00372
nGCA_016756455.1_ASM1675645v1_genomic.fna             0        1          67.9       27      9.41e-05
nGCA_016803935.1_ASM1680393v1_genomic.fna             0        1          67.9       33      0.00458
nGCA_016811855.1_ASM1681185v1_genomic.fna             0        1          67.9       232     3.3e-08
nGCA_016811875.1_ASM1681187v1_genomic.fna             0        1          67.9       232     0
nGCA_016864475.1_ASM1686447v1_genomic.fna             0        1          67.9       246     0.00142
nGCA_017570585.1_ASM1757058v1_genomic.fna             0        1          67.9       255     0.00015
nGCA_017570605.1_ASM1757060v1_genomic.fna             0        1          67.9       164     0.00095
nGCA_017570625.1_ASM1757062v1_genomic.fna             0        1          67.9       164     0.000725
nGCA_017570645.1_ASM1757064v1_genomic.fna             0        1          67.9       129     0.0013
nGCA_017570685.1_ASM1757068v1_genomic.fna             0        1          67.9       98      0.00334
nGCA_018085225.1_ASM1808522v1_genomic.fna             0        1          67.9       266     0.000417
nGCA_018884445.1_ASM1888444v1_genomic.fna             0        1          67.9       263     0.0045
nGCA_018986795.1_ASM1898679v1_genomic.fna             0        1          67.9       84      0.00673
nGCA_018986815.1_ASM1898681v1_genomic.fna             0        1          67.9       72      0.00381
nGCA_018986835.1_ASM1898683v1_genomic.fna             0        1          67.9       128     0.00194
nGCA_019431295.1_ASM1943129v1_genomic.fna             0        1          67.9       166     0.000513
nGCA_019431315.1_ASM1943131v1_genomic.fna             0        1          67.9       83      4.96e-05
nGCA_019431335.1_ASM1943133v1_genomic.fna             0        1          67.9       83      0.000109
nGCA_019754155.1_ASM1975415v1_genomic.fna             0        1          67.9       255     0
nGCA_020217445.1_ASM2021744v1_genomic.fna             0        1          67.9       290     0.00605
nGCA_021398465.1_ASM2139846v1_genomic.fna             0        1          67.9       69      0.00359
nGCA_021398485.1_ASM2139848v1_genomic.fna             0        1          67.9       67      3.33e-05
nGCA_021398935.1_ASM2139893v1_genomic.fna             0        1          67.9       76      1.5e-06
nGCA_021398955.1_ASM2139895v1_genomic.fna             0        1          67.9       70      0.00383
nGCA_021398975.1_ASM2139897v1_genomic.fna             0        1          67.9       69      0.00375
nGCA_021398995.1_ASM2139899v1_genomic.fna             0        1          67.9       18      0.000869
nGCA_021399015.1_ASM2139901v1_genomic.fna             0        1          67.9       66      0.000647
nGCA_021559835.1_ASM2155983v1_genomic.fna             0        1          67.9       59      5.26e-05
nGCA_022869985.1_ASM2286998v1_genomic.fna             0        1          67.9       123     1.59e-05
nGCA_023518355.1_ASM2351835v1_genomic.fna             0        1          67.9       143     0.00181
nGCA_024599975.1_ASM2459997v1_genomic.fna             0        1          67.9       79      0.00644
nGCA_024662075.1_ASM2466207v1_genomic.fna             0        1          67.9       81      0.00627
nGCA_024917335.1_ASM2491733v1_genomic.fna             0        1          67.9       24      0.000118
nGCA_024917455.1_ASM2491745v1_genomic.fna             0        1          67.9       32      6.58e-05
nGCA_024917895.1_ASM2491789v1_genomic.fna             0        1          67.9       32      1.36e-05
nGCA_024917975.1_ASM2491797v1_genomic.fna             0        1          67.9       25      7.39e-05
nGCA_024918115.1_ASM2491811v1_genomic.fna             0        1          67.9       15      0.00026
nGCA_024918235.1_ASM2491823v1_genomic.fna             0        1          67.9       28      0.000113
nGCA_024918395.1_ASM2491839v1_genomic.fna             0        1          67.9       16      0.000231
nGCA_024918415.1_ASM2491841v1_genomic.fna             0        1          67.9       25      2.74e-05
nGCA_025643415.1_ASM2564341v1_genomic.fna             0        1          67.9       182     4.73e-06
nGCA_025643435.1_ASM2564343v1_genomic.fna             0        1          67.9       185     2.17e-06
nGCA_025643455.1_ASM2564345v1_genomic.fna             0        1          67.9       185     2.21e-06
nGCA_025643475.1_ASM2564347v1_genomic.fna             0        1          67.9       184     0
nGCA_025946525.1_ASM2594652v1_genomic.fna             0        1          67.9       61      0.000459
nGCA_025946545.1_ASM2594654v1_genomic.fna             0        1          67.9       265     0.000908
nGCA_025946565.1_ASM2594656v1_genomic.fna             0        1          67.9       57      9.01e-05
nGCA_026016785.1_ASM2601678v1_genomic.fna             0        1          67.9       258     0.000193
nGCA_029542525.1_ASM2954252v1_genomic.fna             0        1          67.9       74      0.000104
nGCA_029674705.1_ASM2967470v1_genomic.fna             0        1          67.9       136     4.22e-05
nGCA_029854395.1_ASM2985439v1_genomic.fna             0        1          67.9       136     0
nGCA_030346995.2_ASM3034699v2_genomic.fna             0        1          67.9       8       0.000909
nGCA_030347015.1_ASM3034701v1_genomic.fna             0        1          67.9       7       0.000861
nGCA_030347035.1_ASM3034703v1_genomic.fna             0        1          67.9       91      0.000107
nGCA_030347055.1_ASM3034705v1_genomic.fna             0        1          67.9       134     0.000126
nGCA_030347075.1_ASM3034707v1_genomic.fna             0        1          67.9       39      0.000524
nGCA_030347095.1_ASM3034709v1_genomic.fna             0        1          67.9       41      0.000309
nGCA_030347115.1_ASM3034711v1_genomic.fna             0        1          67.9       52      0.000382
nGCA_030347135.1_ASM3034713v1_genomic.fna             0        1          67.9       53      0
nGCA_030347155.1_ASM3034715v1_genomic.fna             0        1          67.9       53      1.31e-05
nGCA_030347175.1_ASM3034717v1_genomic.fna             0        1          67.9       41      0.000253
nGCA_030347195.1_ASM3034719v1_genomic.fna             0        1          67.9       91      7.67e-05
nGCA_030347215.1_ASM3034721v1_genomic.fna             0        1          67.9       134     0.000121
nGCA_900149875.1_EPEC1_genomic.fna                    0        1          67.9       10      0
nGCA_900149915.1_EPEC-E2348_69-V2_genomic.fna         0        1          67.9       11      0
nGCA_904425475.1_MG1655_genomic.fna                   0        1          67.9       226     0
nGCA_951802855.1_ARM32_genomic.fna                    0        1          67.9       17      8.8e-05
nGCA_951802865.1_ARM86_genomic.fna                    0        1          67.9       17      7.62e-05
nGCA_951803545.1_ARM46_genomic.fna                    0        1          67.9       23      0.000175
101                                                   0        2          67.7       100     0.00334
106                                                   0        2          67.7       105     7.65e-05
11                                                    0        2          67.7       10      6.1e-05
110                                                   0        2          67.7       109     5.76e-05
115                                                   0        2          67.7       114     0.000334
123                                                   0        2          67.7       122     4.1e-05
126                                                   0        2          67.7       125     1.47e-05
129                                                   0        2          67.7       128     0.000734
132                                                   0        2          67.7       131     0.00109
134                                                   0        2          67.7       133     0.00108
136                                                   0        2          67.7       135     0.000756
142                                                   0        2          67.7       141     0.00185
143                                                   0        2          67.7       141     0.000717
146                                                   0        2          67.7       145     0.000773
149                                                   0        2          67.7       148     6.82e-05
152                                                   0        2          67.7       151     0.00026
153                                                   0        2          67.7       151     8.71e-05
158                                                   0        2          67.7       157     0.00246
164                                                   0        2          67.7       163     0.000401
166                                                   0        2          67.7       165     0.000398
17                                                    0        2          67.7       16      0.000123
170                                                   0        2          67.7       169     3.29e-05
175                                                   0        2          67.7       174     8.11e-06
185                                                   0        2          67.7       184     1.27e-05
189                                                   0        2          67.7       188     1.16e-05
199                                                   0        2          67.7       198     1.96e-06
200                                                   0        2          67.7       197     4.99e-07
201                                                   0        2          67.7       190     1.91e-06
203                                                   0        2          67.7       202     5.71e-06
209                                                   0        2          67.7       208     6.59e-06
21                                                    0        2          67.7       20      6.53e-05
210                                                   0        2          67.7       206     8.89e-06
213                                                   0        2          67.7       212     5.03e-07
215                                                   0        2          67.7       214     4.55e-06
229                                                   0        2          67.7       228     1.35e-05
231                                                   0        2          67.7       230     6.04e-07
232                                                   0        2          67.7       230     3.74e-07
233                                                   0        2          67.7       171     1.84e-05
236                                                   0        2          67.7       235     0.000868
238                                                   0        2          67.7       237     0.00145
241                                                   0        2          67.7       240     2e-05
244                                                   0        2          67.7       243     0.00121
248                                                   0        2          67.7       247     0.000224
25                                                    0        2          67.7       24      2.59e-05
255                                                   0        2          67.7       254     2.67e-05
256                                                   0        2          67.7       250     3.59e-05
259                                                   0        2          67.7       258     4.45e-05
262                                                   0        2          67.7       261     0.00138
266                                                   0        2          67.7       265     0.000393
267                                                   0        2          67.7       264     0.000984
269                                                   0        2          67.7       268     0.006
27                                                    0        2          67.7       26      4.55e-05
273                                                   0        2          67.7       272     0.000675
275                                                   0        2          67.7       274     0.000148
283                                                   0        2          67.7       282     1.01e-05
284                                                   0        2          67.7       277     1.44e-05
288                                                   0        2          67.7       287     1.08e-05
289                                                   0        2          67.7       286     1.29e-05
299                                                   0        2          67.7       298     2.85e-05
32                                                    0        2          67.7       31      1.97e-05
37                                                    0        2          67.7       36      0.000537
39                                                    0        2          67.7       38      0.000413
393                                                   0        2          67.7       392     5.07e-05
4                                                     0        2          67.7       3       0.00624
41                                                    0        2          67.7       40      0.000406
5                                                     0        2          67.7       3       0.000461
50                                                    0        2          67.7       49      1.94e-05
53                                                    0        2          67.7       52      0.000481
57                                                    0        2          67.7       56      0.000194
59                                                    0        2          67.7       58      4.81e-05
63                                                    0        2          67.7       62      0.000196
65                                                    0        2          67.7       64      0.000232
67                                                    0        2          67.7       66      0.000512
69                                                    0        2          67.7       68      0.000326
74                                                    0        2          67.7       73      0.00321
76                                                    0        2          67.7       75      6.86e-05
79                                                    0        2          67.7       78      0.00121
8                                                     0        2          67.7       7       0.000151
81                                                    0        2          67.7       80      0.000941
83                                                    0        2          67.7       82      0.00669
84                                                    0        2          67.7       82      0.000138
91                                                    0        2          67.7       90      0.000328
92                                                    0        2          67.7       90      0.000171
95                                                    0        2          67.7       94      2.61e-05
10                                                    0        3          67.5       9       0.00604
105                                                   0        3          67.5       104     7.36e-05
109                                                   0        3          67.5       108     0.000135
125                                                   0        3          67.5       124     4.09e-05
128                                                   0        3          67.5       127     0.00118
135                                                   0        3          67.5       133     0.000114
145                                                   0        3          67.5       144     0.00186
148                                                   0        3          67.5       147     0.00314
16                                                    0        3          67.5       15      0.000155
165                                                   0        3          67.5       163     0.000355
174                                                   0        3          67.5       173     8.68e-06
184                                                   0        3          67.5       183     1.16e-05
188                                                   0        3          67.5       187     2.16e-05
198                                                   0        3          67.5       197     5.12e-06
208                                                   0        3          67.5       207     4.55e-06
212                                                   0        3          67.5       211     1.33e-05
214                                                   0        3          67.5       211     9.03e-06
228                                                   0        3          67.5       227     4.03e-05
24                                                    0        3          67.5       23      3.77e-05
240                                                   0        3          67.5       239     0.000225
243                                                   0        3          67.5       242     0.000273
254                                                   0        3          67.5       253     8.79e-06
258                                                   0        3          67.5       257     0.0027
261                                                   0        3          67.5       260     0.000552
265                                                   0        3          67.5       264     0.00252
282                                                   0        3          67.5       281     1.12e-05
287                                                   0        3          67.5       286     2.25e-05
298                                                   0        3          67.5       297     0.000113
31                                                    0        3          67.5       30      1.04e-05
49                                                    0        3          67.5       48      1.07e-05
52                                                    0        3          67.5       51      0.000154
58                                                    0        3          67.5       56      0.000174
64                                                    0        3          67.5       62      6.45e-05
66                                                    0        3          67.5       60      1.87e-05
7                                                     0        3          67.5       6       0.00778
75                                                    0        3          67.5       73      0.00315
94                                                    0        3          67.5       93      0.00438
104                                                   0        4          67.3       103     0.000844
108                                                   0        4          67.3       107     0.000136
124                                                   0        4          67.3       122     4.1e-05
127                                                   0        4          67.3       117     1.87e-05
141                                                   0        4          67.3       140     0.0005
144                                                   0        4          67.3       140     0.00013
15                                                    0        4          67.3       14      0.000196
151                                                   0        4          67.3       150     0.00278
173                                                   0        4          67.3       172     0.000113
183                                                   0        4          67.3       182     8.52e-06
207                                                   0        4          67.3       206     1.67e-05
227                                                   0        4          67.3       226     6.2e-06
23                                                    0        4          67.3       22      5.88e-05
230                                                   0        4          67.3       220     4.97e-07
239                                                   0        4          67.3       237     0.00134
242                                                   0        4          67.3       234     2.07e-05
253                                                   0        4          67.3       252     2.34e-05
260                                                   0        4          67.3       257     0.00105
281                                                   0        4          67.3       280     2.55e-05
297                                                   0        4          67.3       296     4.27e-05
3                                                     0        4          67.3       2       0.0033
30                                                    0        4          67.3       29      2.8e-05
48                                                    0        4          67.3       47      1.41e-05
51                                                    0        4          67.3       42      9.3e-05
82                                                    0        4          67.3       80      0.000606
90                                                    0        4          67.3       89      0.000619
107                                                   0        5          67.0       103     0.0006
133                                                   0        5          67.0       131     0.000484
14                                                    0        5          67.0       13      0.000958
150                                                   0        5          67.0       147     0.0001
163                                                   0        5          67.0       162     0.000147
182                                                   0        5          67.0       181     4.34e-06
197                                                   0        5          67.0       196     9.89e-06
226                                                   0        5          67.0       225     3.22e-06
252                                                   0        5          67.0       251     3.1e-05
264                                                   0        5          67.0       263     0.000681
280                                                   0        5          67.0       279     5.5e-06
286                                                   0        5          67.0       285     2.35e-05
29                                                    0        5          67.0       28      5.99e-05
296                                                   0        5          67.0       295     4.92e-05
47                                                    0        5          67.0       46      2.63e-05
56                                                    0        5          67.0       55      0.000398
62                                                    0        5          67.0       61      0.00013
73                                                    0        5          67.0       72      0.000395
89                                                    0        5          67.0       88      0.00098
122                                                   0        6          66.8       121     5.04e-06
181                                                   0        6          66.8       180     1.1e-07
196                                                   0        6          66.8       195     4.86e-06
206                                                   0        6          66.8       205     2.79e-05
211                                                   0        6          66.8       205     1.47e-05
225                                                   0        6          66.8       224     1.66e-06
237                                                   0        6          66.8       235     0.000168
251                                                   0        6          66.8       250     8.71e-05
263                                                   0        6          66.8       155     0.000919
279                                                   0        6          66.8       278     2.32e-05
28                                                    0        6          66.8       26      3.27e-06
285                                                   0        6          66.8       276     3.35e-05
295                                                   0        6          66.8       294     4.08e-05
46                                                    0        6          66.8       45      9.33e-05
61                                                    0        6          66.8       60      0.000211
72                                                    0        6          66.8       71      4.93e-05
80                                                    0        6          66.8       78      0.000201
88                                                    0        6          66.8       87      0.00273
121                                                   0        7          66.6       120     3.81e-05
131                                                   0        7          66.6       130     0.00182
180                                                   0        7          66.6       179     2.07e-06
195                                                   0        7          66.6       194     3.68e-06
224                                                   0        7          66.6       223     1.68e-06
257                                                   0        7          66.6       245     0.000992
278                                                   0        7          66.6       277     3.99e-05
294                                                   0        7          66.6       293     9.77e-05
45                                                    0        7          66.6       44      3.34e-05
71                                                    0        7          66.6       70      0.000145
120                                                   0        8          66.4       119     8.7e-05
140                                                   0        8          66.4       139     4.46e-05
147                                                   0        8          66.4       111     8.41e-05
179                                                   0        8          66.4       178     4.63e-06
194                                                   0        8          66.4       193     2.07e-06
223                                                   0        8          66.4       222     1.26e-06
235                                                   0        8          66.4       234     0.00083
250                                                   0        8          66.4       249     0.000244
26                                                    0        8          66.4       22      3.12e-05
293                                                   0        8          66.4       292     0.000404
44                                                    0        8          66.4       43      6.46e-05
70                                                    0        8          66.4       68      8.43e-05
78                                                    0        8          66.4       77      0.00181
103                                                   0        9          66.1       102     0.00271
119                                                   0        9          66.1       118     6.7e-05
139                                                   0        9          66.1       138     0.000105
178                                                   0        9          66.1       177     1.32e-05
193                                                   0        9          66.1       192     6.15e-07
222                                                   0        9          66.1       221     3.28e-06
249                                                   0        9          66.1       247     7.46e-05
277                                                   0        9          66.1       276     3.64e-05
43                                                    0        9          66.1       42      0.000303
60                                                    0        9          66.1       55      0.000173
118                                                   0        10         65.9       117     0.00314
138                                                   0        10         65.9       137     5.81e-05
177                                                   0        10         65.9       176     1.09e-05
192                                                   0        10         65.9       191     1.49e-06
221                                                   0        10         65.9       220     2.92e-06
68                                                    0        10         65.9       54      0.000108
137                                                   0        11         65.7       130     9.52e-05
191                                                   0        11         65.7       190     7.28e-06
247                                                   0        11         65.7       246     0.000709
205                                                   0        12         65.5       204     9.06e-06
22                                                    0        12         65.5       20      4.2e-05
234                                                   0        12         65.5       160     0.000112
246                                                   0        12         65.5       245     0.00258
190                                                   0        13         65.3       187     3.06e-06
42                                                    0        13         65.3       40      0.000169
117                                                   0        14         65.0       116     7.79e-05
20                                                    0        14         65.0       19      1.34e-05
220                                                   0        14         65.0       219     6.76e-07
55                                                    0        14         65.0       54      0.00322
19                                                    0        15         64.8       18      0.000537
219                                                   0        15         64.8       218     4.66e-07
276                                                   0        15         64.8       274     2.74e-05
40                                                    0        15         64.8       38      3.77e-05
18                                                    0        16         64.6       13      0.000622
187                                                   0        16         64.6       186     2.63e-05
218                                                   0        16         64.6       217     3.19e-07
217                                                   0        17         64.4       216     3.42e-07
274                                                   0        17         64.4       272     0.000422
38                                                    0        17         64.4       36      0.000421
130                                                   0        18         64.1       116     5.91e-05
216                                                   0        18         64.1       204     2.94e-06
245                                                   0        19         63.9       156     4.46e-05
272                                                   0        19         63.9       271     0.00558
36                                                    0        19         63.9       35      0.00307
13                                                    0        21         63.5       12      0.00434
54                                                    0        24         62.8       35      0.000187
204                                                   0        30         61.5       202     4.97e-06
116                                                   0        32         61.0       114     5.67e-05
202                                                   0        32         61.0       186     3.92e-06
114                                                   0        34         60.6       113     2.94e-05
113                                                   0        35         60.4       112     8.59e-06
